class_idx,wnid,class_name,indoor,clip_indoor_frac,clip_indoor_prob,clip_label,disagree
536,n03844815,oilskin,1,0.047,0.127,0,1
537,n03852688,optical telescope,0,0.016,0.051,0,0
538,n03854815,organ pipe,1,1.0,0.975,1,0
539,n03857828,oscilloscope,1,0.719,0.71,1,0
540,n03868242,oxcart,0,0.016,0.174,0,0
541,n03868863,oxygen mask,1,0.734,0.685,1,0
542,n03874599,padlock,1,0.359,0.378,0,1
543,n03876231,paintbrush,1,0.891,0.813,1,0
544,n03877472,pajama,1,0.766,0.697,1,0
545,n03877674,pajama,1,0.688,0.655,1,0
546,n03884397,panpipe,1,0.609,0.592,1,0
547,n03886762,paper clip,1,0.938,0.845,1,0
548,n03887697,paper towel,1,0.859,0.801,1,0
549,n03888257,parachute,0,0.062,0.137,0,0
550,n03888605,parallel bars,1,0.656,0.62,1,0
551,n03891251,park bench,0,0.0,0.045,0,0
552,n03895866,passenger car,0,0.547,0.542,1,1
553,n03902125,pay-phone,0,0.359,0.385,0,0
554,n03908204,pencil,1,0.969,0.883,1,0
555,n03908714,pencil sharpener,1,0.797,0.763,1,0
556,n03909406,pendulum clock,1,1.0,0.949,1,0
557,n03920867,pew,1,0.969,0.964,1,0
558,n03924679,photocopier,1,0.938,0.868,1,0
559,n03929855,pickelhaube,1,0.922,0.817,1,0
560,n03930313,picket fence,0,0.031,0.134,0,0
561,n03930630,pickup,0,0.078,0.172,0,0
562,n03940256,pin,1,0.828,0.737,1,0
563,n03950228,pitcher,1,0.953,0.902,1,0
564,n03954731,plane,1,0.969,0.888,1,0
565,n03956157,planetarium,0,0.297,0.376,0,0
566,n03967562,plow,0,0.094,0.223,0,0
567,n03970156,plunger,1,0.688,0.716,1,0
568,n03973628,pocketknife,1,0.484,0.537,0,1
569,n03974915,point-and-shoot camera,1,0.266,0.318,0,1
570,n03976467,polaroid camera,1,0.672,0.626,1,0
571,n03977966,police van,0,0.406,0.449,0,0
572,n03978966,polo shirt,1,0.453,0.499,0,1
573,n03980874,poncho,1,0.422,0.455,0,1
574,n03982232,pool ball,1,1.0,0.884,1,0
575,n03982430,pool table,1,0.969,0.932,1,0
576,n04003241,primus stove,0,0.25,0.343,0,0
577,n04004767,printer,1,0.891,0.79,1,0
578,n04005630,prison,0,0.859,0.861,1,1
579,n04009552,projector,1,0.672,0.653,1,0
580,n04021028,pullover,1,0.594,0.569,1,0
581,n04033901,quill,1,0.75,0.696,1,0
582,n04033995,quilt,1,0.984,0.958,1,0
583,n04037443,racer,0,0.438,0.487,0,0
584,n04041544,radio,1,0.688,0.605,1,0
585,n04044716,radio telescope,0,0.031,0.067,0,0
586,n04049303,rain barrel,0,0.156,0.266,0,0
587,n04050066,rake,0,0.266,0.324,0,0
588,n04065272,recreational vehicle,0,0.094,0.205,0,0
589,n04069434,reflex camera,1,0.281,0.331,0,1
590,n04070727,refrigerator,1,0.953,0.919,1,0
591,n04074963,remote control,1,0.859,0.796,1,0
592,n04081281,restaurant,1,0.844,0.854,1,0
593,n04086273,revolver,1,0.938,0.876,1,0
594,n04090263,rifle,0,0.703,0.693,1,1
595,n04102037,in-line skate,0,0.344,0.355,0,0
596,n04102406,roller coaster,0,0.141,0.252,0,0
597,n04111531,rotisserie,1,0.656,0.638,1,0
598,n04116512,rubber eraser,1,0.906,0.808,1,0
599,n04118021,rug,1,0.938,0.891,1,0
600,n04118538,rugby ball,0,0.375,0.434,0,0
601,n04118776,rule,1,0.906,0.818,1,0
602,n04120489,running shoe,1,0.594,0.598,1,0
603,n04125021,safe,1,0.234,0.362,0,1
604,n04127521,safety razor,1,0.609,0.628,1,0
605,n04131690,saltshaker,1,1.0,0.956,1,0
606,n04133789,sandal,1,0.5,0.493,0,1
607,n04136333,sarong,1,0.422,0.392,0,1
608,n04140064,saw,1,0.562,0.591,1,0
609,n04141076,sax,1,0.594,0.538,1,0
610,n04141327,scabbard,1,0.859,0.752,1,0
611,n04141975,scale,1,0.578,0.624,1,0
612,n04143140,scanner,1,0.703,0.641,1,0
613,n04146614,school bus,0,0.328,0.423,0,0
614,n04147183,schooner,0,0.219,0.35,0,0
615,n04148054,scissors,1,0.781,0.714,1,0
616,n04153751,screw,1,0.703,0.646,1,0
617,n04154565,screwdriver,1,0.891,0.773,1,0
618,n04162706,seat belt,1,0.438,0.445,0,1
619,n04179913,sewing machine,1,0.922,0.848,1,0
620,n04185804,shaver,1,0.625,0.571,1,0
621,n04192698,shield,0,0.531,0.552,1,1
622,n04194127,shin guard,0,0.25,0.335,0,0
623,n04200800,shoe shop,1,0.969,0.906,1,0
624,n04201297,shoji,1,0.953,0.933,1,0
625,n04204238,shopping basket,1,0.391,0.46,0,1
626,n04204347,shopping cart,1,0.203,0.292,0,1
627,n04205318,short pants,1,0.25,0.318,0,1
628,n04208210,shovel,0,0.219,0.313,0,0
629,n04209133,shower cap,1,0.562,0.552,1,0
630,n04209239,shower curtain,1,0.984,0.97,1,0
631,n04210120,shredder,1,0.875,0.789,1,0
632,n04220250,silo,0,0.172,0.292,0,0
633,n04229816,ski mask,0,0.531,0.489,1,1
634,n04233124,skyscraper,0,0.766,0.633,1,1
635,n04235860,sleeping bag,0,0.344,0.412,0,0
636,n04239436,sling,1,0.719,0.641,1,0
637,n04243546,slot,1,1.0,0.935,1,0
638,n04251144,snorkel,0,0.047,0.205,0,0
639,n04252077,snowmobile,0,0.047,0.127,0,0
640,n04252225,snowplow,0,0.203,0.323,0,0
641,n04254680,soccer ball,0,0.219,0.321,0,0
642,n04254777,sock,1,0.797,0.721,1,0
643,n04258138,solar dish,0,0.125,0.167,0,0
644,n04259630,sombrero,1,0.625,0.603,1,0
645,n04270147,spatula,1,0.75,0.731,1,0
646,n04273569,speedboat,0,0.141,0.31,0,0
647,n04275548,spider web,0,0.016,0.085,0,0
648,n04295881,stadium,0,0.719,0.627,1,1
649,n04310018,steam locomotive,0,0.25,0.395,0,0
650,n04317175,stethoscope,1,0.859,0.727,1,0
651,n04325704,stole,1,0.484,0.452,0,1
652,n04326547,stone wall,0,0.047,0.139,0,0
653,n04332074,straight razor,1,0.766,0.7,1,0
654,n04346328,stupa,0,0.188,0.321,0,0
655,n04347754,submarine,0,0.438,0.442,0,0
656,n04349306,subway train,0,0.969,0.896,1,1
657,n04350905,suit,1,0.688,0.638,1,0
658,n04355338,sundial,0,0.141,0.218,0,0
659,n04367480,swab,1,0.703,0.714,1,0
660,n04371430,swimming trunks,1,0.078,0.21,0,1
661,n04373704,swivel chair,1,0.969,0.917,1,0
662,n04373894,sword,1,0.672,0.644,1,0
663,n04376876,syringe,1,0.859,0.767,1,0
664,n04381587,table-tennis table,1,0.875,0.83,1,0
665,n04389033,tank,0,0.141,0.255,0,0
666,n04392985,tape player,1,0.812,0.721,1,0
667,n04398044,teapot,1,0.953,0.895,1,0
668,n04404412,television,1,0.859,0.807,1,0
669,n04409515,tennis ball,0,0.516,0.511,1,1
670,n04411264,tent,0,0.188,0.246,0,0
671,n04417672,thatch,0,0.297,0.38,0,0
672,n04418357,theater curtain,1,0.984,0.944,1,0
673,n04421872,thermometer,1,0.453,0.482,0,1
674,n04423845,thimble,1,0.891,0.778,1,0
675,n04428191,thresher,0,0.328,0.383,0,0
676,n04435653,tile roof,0,0.266,0.368,0,0
677,n04442312,toaster,1,0.953,0.923,1,0
678,n04443257,tobacco shop,1,0.875,0.802,1,0
679,n04453156,toothbrush,1,0.953,0.888,1,0
680,n04458633,totem pole,0,0.156,0.315,0,0
681,n04462240,toyshop,1,0.938,0.908,1,0
682,n04464615,trackball,1,0.969,0.841,1,0
683,n04465501,tractor,0,0.109,0.226,0,0
684,n04467665,trailer truck,0,0.188,0.311,0,0
685,n04482393,tricycle,0,0.344,0.397,0,0
686,n04483307,trimaran,0,0.281,0.378,0,0
687,n04486054,triumphal arch,0,0.125,0.29,0,0
688,n04487081,trolleybus,0,0.266,0.383,0,0
689,n04487394,trombone,1,0.812,0.758,1,0
690,n04489817,trowel,0,0.344,0.424,0,0
691,n04491638,trundle bed,1,1.0,0.966,1,0
692,n04496726,tumble-dryer,1,0.969,0.889,1,0
693,n04498389,turban,1,0.375,0.415,0,1
694,n04501370,turnstile,1,0.656,0.681,1,0
695,n04507155,umbrella,0,0.188,0.307,0,0
696,n04509417,unicycle,0,0.375,0.412,0,0
697,n04515003,upright,1,0.953,0.92,1,0
698,n04517823,vacuum,1,0.922,0.844,1,0
699,n04522168,vase,1,0.953,0.896,1,0
700,n04523525,vault,1,0.938,0.941,1,0
701,n04525305,vending machine,1,0.734,0.705,1,0
702,n04525584,venetian blind,1,1.0,0.915,1,0
703,n04532106,vestment,1,0.922,0.854,1,0
704,n04536866,violin,1,0.719,0.652,1,0
705,n04540053,volleyball,0,0.797,0.78,1,1
706,n04542943,waffle iron,1,0.875,0.776,1,0
707,n04548362,wallet,1,0.578,0.574,1,0
708,n04550184,wardrobe,1,0.969,0.969,1,0
709,n04552348,warplane,0,0.094,0.199,0,0
710,n04553703,washbasin,1,0.938,0.917,1,0
711,n04554684,washer,1,0.906,0.847,1,0
712,n04555897,watch,1,0.688,0.638,1,0
713,n04562935,water tower,0,0.172,0.279,0,0
714,n04576002,wheelchair,1,0.547,0.551,1,0
715,n04579432,whistle,1,0.609,0.555,1,0
716,n04584207,wig,1,0.688,0.649,1,0
717,n04589890,window screen,1,0.484,0.504,0,1
718,n04590129,window shade,1,0.984,0.916,1,0
719,n04591157,windsor tie,1,0.781,0.718,1,0
720,n04596742,wok,1,0.781,0.743,1,0
721,n04613696,yurt,0,0.203,0.347,0,0
722,n06267145,newspaper,1,0.797,0.758,1,0
723,n06359193,web site,1,0.609,0.55,1,0
724,n06595351,magazine,1,0.672,0.648,1,0
725,n06785654,crossword puzzle,1,0.891,0.806,1,0
726,n07711080,french fries,1,0.922,0.826,1,0
727,n07711569,mashed potato,1,0.891,0.795,1,0
728,n07713763,mustard,1,0.344,0.383,0,1
729,n07714448,bok choy,1,0.594,0.525,1,0
730,n07714571,head cabbage,1,0.281,0.346,0,1
731,n07714990,broccoli,1,0.703,0.6,1,0
732,n07715103,cauliflower,1,0.484,0.527,0,1
733,n07715221,brussels sprouts,1,0.797,0.703,1,0
734,n07716358,zucchini,1,0.406,0.488,0,1
735,n07716906,spaghetti squash,1,0.688,0.643,1,0
736,n07717410,acorn squash,1,0.781,0.681,1,0
737,n07717556,butternut squash,1,0.781,0.715,1,0
738,n07718472,cucumber,1,0.578,0.535,1,0
739,n07718747,artichoke,1,0.219,0.289,0,1
740,n07719213,asparagus,1,0.531,0.53,1,0
741,n07720277,chard,1,0.312,0.345,0,1
742,n07720875,bell pepper,1,0.719,0.618,1,0
743,n07721195,pimento,1,0.516,0.478,1,0
744,n07721678,jalapeno,1,0.516,0.53,1,0
745,n07722485,green onion,1,0.594,0.542,1,0
746,n07723039,leek,1,0.594,0.524,1,0
747,n07723177,shallot,1,0.594,0.588,1,0
748,n07723559,lettuce,1,0.375,0.376,0,1
749,n07725531,green pea,1,0.703,0.622,1,0
750,n07726095,chickpea,1,0.906,0.791,1,0
751,n07727048,kidney bean,1,0.766,0.668,1,0
752,n07729485,soy,1,0.625,0.578,1,0
753,n07730033,cardoon,1,0.0,0.046,0,1
754,n07730406,celery,1,0.797,0.689,1,0
755,n07732747,cress,1,0.219,0.259,0,1
756,n07734292,cherry tomato,1,0.375,0.388,0,1
757,n07734744,mushroom,1,0.047,0.087,0,1
758,n07735404,parsnip,1,0.625,0.561,1,0
759,n07735510,pumpkin,1,0.359,0.445,0,1
760,n07735803,turnip,1,0.375,0.457,0,1
761,n07736692,spinach,1,0.438,0.438,0,1
762,n07737745,peanut,1,0.469,0.492,0,1
763,n07739344,crab apple,1,0.047,0.103,0,1
764,n07742313,granny smith,1,0.812,0.745,1,0
765,n07743544,blueberry,1,0.328,0.364,0,1
766,n07743902,cranberry,1,0.656,0.582,1,0
767,n07744246,currant,1,0.141,0.21,0,1
768,n07744811,blackberry,1,0.266,0.284,0,1
769,n07745466,raspberry,1,0.344,0.401,0,1
770,n07745940,strawberry,1,0.781,0.652,1,0
771,n07746186,persimmon,1,0.406,0.407,0,1
772,n07747607,orange,1,0.812,0.737,1,0
773,n07749446,kumquat,1,0.484,0.486,0,1
774,n07749582,lemon,1,0.609,0.563,1,0
775,n07749969,grapefruit,1,0.844,0.722,1,0
776,n07751451,plum,1,0.406,0.422,0,1
777,n07753113,fig,1,0.25,0.309,0,1
778,n07753275,pineapple,1,0.562,0.574,1,0
779,n07753592,banana,1,0.859,0.77,1,0
780,n07754684,jackfruit,1,0.141,0.228,0,1
781,n07757132,cherry,1,0.703,0.611,1,0
782,n07758680,grape,1,0.547,0.523,1,0
783,n07760859,custard apple,1,0.297,0.315,0,1
784,n07762913,durian,1,0.406,0.454,0,1
785,n07764155,mango,1,0.703,0.644,1,0
786,n07765208,elderberry,1,0.0,0.042,0,1
787,n07765361,guava,1,0.359,0.388,0,1
788,n07766173,litchi,1,0.375,0.378,0,1
789,n07767171,mulberry,1,0.062,0.124,0,1
790,n07767549,black olive,1,0.781,0.681,1,0
791,n07768694,pomegranate,1,0.656,0.577,1,0
792,n07769584,quince,1,0.375,0.342,0,1
793,n07770763,pumpkin seed,1,0.781,0.725,1,0
794,n07771212,walnut,1,0.656,0.576,1,0
795,n07772147,cashew,1,0.719,0.63,1,0
796,n07772274,chestnut,1,0.109,0.165,0,1
797,n07772788,hazelnut,1,0.406,0.452,0,1
798,n07772935,coconut,1,0.391,0.387,0,1
799,n07774719,pecan,1,0.875,0.783,1,0
800,n07775050,pistachio,1,0.75,0.667,1,0
801,n07775197,sunflower seed,1,0.281,0.357,0,1
802,n07929351,coffee bean,1,0.891,0.792,1,0
803,n09193705,alp,0,0.062,0.155,0,0
804,n09246464,cliff,0,0.016,0.156,0,0
805,n09256479,coral reef,0,0.156,0.322,0,0
806,n09270735,dune,0,0.141,0.304,0,0
807,n09288635,geyser,0,0.031,0.223,0,0
808,n09332890,lakeside,0,0.016,0.118,0,0
809,n09344324,lunar crater,0,0.438,0.451,0,0
810,n09399592,promontory,0,0.031,0.208,0,0
811,n09421951,sandbar,0,0.125,0.274,0,0
812,n09428293,seashore,0,0.125,0.248,0,0
813,n09468604,valley,0,0.047,0.103,0,0
814,n09472597,volcano,0,0.219,0.325,0,0
815,n11608250,pine,0,0.0,0.081,0,0
816,n11636835,juniper berry,0,0.016,0.072,0,0
817,n11664418,ginkgo,0,0.0,0.044,0,0
818,n11695974,ilang-ilang,0,0.141,0.217,0,0
819,n11703669,laurel,0,0.0,0.075,0,0
820,n11709205,star anise,0,0.594,0.526,1,1
821,n11709674,magnolia,0,0.031,0.103,0,0
822,n11712282,tulip tree,0,0.016,0.069,0,0
823,n11721337,lesser celandine,0,0.0,0.038,0,0
824,n11725821,wood anemone,0,0.0,0.051,0,0
825,n11727540,blue columbine,0,0.078,0.147,0,0
826,n11733054,delphinium,0,0.062,0.127,0,0
827,n11736694,nigella,0,0.0,0.068,0,0
828,n11748811,peanut,0,0.641,0.565,1,1
829,n11756669,wattle,0,0.047,0.094,0,0
830,n11757851,huisache,0,0.016,0.068,0,0
831,n11759404,silk tree,0,0.0,0.075,0,0
832,n11759853,rain tree,0,0.0,0.098,0,0
833,n11770256,dita,0,0.0,0.075,0,0
834,n11793779,calla lily,0,0.344,0.405,0,0
835,n11805956,sandwort,0,0.0,0.057,0,0
836,n11807979,pink,0,0.078,0.129,0,0
837,n11810358,baby's breath,0,0.531,0.497,1,1
838,n11821184,ice plant,0,0.0,0.056,0,0
839,n11826198,globe amaranth,0,0.031,0.104,0,0
840,n11839568,four o'clock,0,0.0,0.091,0,0
841,n11859737,virginia spring beauty,0,0.0,0.056,0,0
842,n11879895,rapeseed,0,0.0,0.053,0,0
843,n11887119,wallflower,0,0.031,0.085,0,0
844,n11888800,damask violet,0,0.031,0.081,0,0
845,n11889619,candytuft,0,0.016,0.055,0,0
846,n11901294,iceland poppy,0,0.031,0.115,0,0
847,n11901597,prickly poppy,0,0.0,0.079,0,0
848,n11901977,oriental poppy,0,0.0,0.061,0,0
849,n11903671,celandine,0,0.0,0.044,0,0
850,n11904109,corydalis,0,0.016,0.067,0,0
851,n11906917,blue poppy,0,0.016,0.102,0,0
852,n11907100,welsh poppy,0,0.0,0.053,0,0
853,n11908846,celandine poppy,0,0.016,0.058,0,0
854,n11921395,pearly everlasting,0,0.0,0.046,0,0
855,n11923397,yellow chamomile,0,0.0,0.062,0,0
856,n11939491,daisy,0,0.047,0.113,0,0
857,n11943660,common marigold,0,0.0,0.079,0,0
858,n11943992,china aster,0,0.156,0.193,0,0
859,n11947802,cornflower,0,0.016,0.059,0,0
860,n11950345,chrysanthemum,0,0.312,0.351,0,0
861,n11955896,mistflower,0,0.047,0.103,0,0
862,n11958080,cosmos,0,0.016,0.063,0,0
863,n11960245,dahlia,0,0.047,0.192,0,0
864,n11962272,coneflower,0,0.016,0.076,0,0
865,n11969607,blue daisy,0,0.125,0.165,0,0
866,n11971248,gazania,0,0.031,0.147,0,0
867,n11971783,african daisy,0,0.031,0.136,0,0
868,n11978233,sunflower,0,0.125,0.234,0,0
869,n11980318,strawflower,0,0.047,0.148,0,0
870,n12023407,dusty miller,0,0.031,0.089,0,0
871,n12023726,tansy,0,0.031,0.061,0,0
872,n12043673,male orchis,0,0.016,0.042,0,0
873,n12043836,butterfly orchid,0,0.391,0.394,0,0
874,n12044467,aerides,0,0.25,0.38,0,0
875,n12047345,brassavola,0,0.406,0.423,0,0
876,n12047884,spider orchid,0,0.078,0.192,0,0
877,n12049282,grass pink,0,0.078,0.109,0,0
878,n12049562,calypso,0,0.016,0.098,0,0
879,n12050533,cattleya,0,0.438,0.475,0,0
880,n12051103,red helleborine,0,0.031,0.085,0,0
881,n12052787,coelogyne,0,0.359,0.425,0,0
882,n12055516,cymbid,0,0.625,0.553,1,1
883,n12056217,lady's slipper,0,0.062,0.151,0,0
884,n12058630,marsh orchid,0,0.0,0.017,0,0
885,n12059314,dendrobium,0,0.547,0.5,1,1
886,n12059625,disa,0,0.484,0.501,0,0
887,n12062468,helleborine,0,0.031,0.078,0,0
888,n12064389,fragrant orchid,0,0.094,0.109,0,0
889,n12065316,fringed orchis,0,0.016,0.09,0,0
890,n12069679,lizard orchid,0,0.0,0.043,0,0
891,n12070016,laelia,0,0.516,0.474,1,1
892,n12072722,masdevallia,0,0.609,0.552,1,1
893,n12073991,odontoglossum,0,0.531,0.498,1,1
894,n12074408,oncidium,0,0.297,0.4,0,0
895,n12074867,bee orchid,0,0.016,0.062,0,0
896,n12075010,fly orchid,0,0.0,0.074,0,0
897,n12075151,spider orchid,0,0.219,0.256,0,0
898,n12076223,phaius,0,0.359,0.408,0,0
899,n12076577,moth orchid,0,0.797,0.688,1,1
900,n12083591,ladies' tresses,0,0.0,0.06,0,0
901,n12084890,stanhopea,0,0.719,0.608,1,1
902,n12085267,stelis,0,0.484,0.473,0,0
903,n12086012,vanda,0,0.438,0.436,0,0
904,n12093329,cyclamen,0,0.25,0.283,0,0
905,n12144580,corn,0,0.297,0.385,0,0
906,n12154773,pandanus,0,0.125,0.164,0,0
907,n12158031,gourd,1,0.312,0.402,0,1
908,n12172364,okra,1,0.531,0.513,1,0
909,n12189987,baobab,0,0.0,0.098,0,0
910,n12190410,kapok,0,0.0,0.087,0,0
911,n12199790,red beech,0,0.0,0.062,0,0
912,n12201580,cacao,0,0.25,0.349,0,0
913,n12202936,linden,0,0.0,0.046,0,0
914,n12242409,sorrel tree,0,0.031,0.103,0,0
915,n12261808,american beech,0,0.016,0.066,0,0
916,n12266796,new zealand beech,0,0.0,0.126,0,0
917,n12267677,acorn,0,0.047,0.109,0,0
918,n12269241,live oak,0,0.016,0.112,0,0
919,n12272883,shingle oak,0,0.0,0.089,0,0
920,n12276872,pin oak,0,0.016,0.081,0,0
921,n12278650,cork oak,0,0.0,0.081,0,0
922,n12281788,yellow birch,0,0.0,0.074,0,0
923,n12281974,american white birch,0,0.0,0.046,0,0
924,n12282737,downy birch,0,0.0,0.051,0,0
925,n12284262,alder,0,0.031,0.083,0,0
926,n12290748,centaury,0,0.0,0.049,0,0
927,n12293723,gentian,0,0.0,0.055,0,0
928,n12301445,olive,0,0.594,0.527,1,1
929,n12302071,fringe tree,0,0.0,0.078,0,0
930,n12304703,european ash,0,0.0,0.036,0,0
931,n12317296,iron tree,0,0.016,0.078,0,0
932,n12345899,mangrove,0,0.016,0.142,0,0
933,n12360108,begonia,0,0.281,0.332,0,0
934,n12401684,fig,0,0.094,0.168,0,0
935,n12403994,paper mulberry,0,0.016,0.08,0,0
936,n12407079,witch elm,0,0.0,0.055,0,0
937,n12407222,dutch elm,0,0.0,0.046,0,0
938,n12478768,cabbage tree,0,0.031,0.079,0,0
939,n12492106,golden shower tree,0,0.016,0.079,0,0
940,n12495895,honey locust,0,0.0,0.054,0,0
941,n12496427,kentucky coffee tree,0,0.031,0.071,0,0
942,n12496949,logwood,0,0.0,0.094,0,0
943,n12513613,judas tree,0,0.0,0.043,0,0
944,n12513933,redbud,0,0.0,0.031,0,0
945,n12523475,brazilian rosewood,0,0.0,0.034,0,0
946,n12527738,coral tree,0,0.016,0.092,0,0
947,n12544539,lentil,1,0.844,0.716,1,0
948,n12560282,pea,1,0.641,0.591,1,0
949,n12570394,japanese pagoda tree,0,0.016,0.088,0,0
950,n12570972,kowhai,0,0.016,0.068,0,0
951,n12582231,palm,0,0.047,0.135,0,0
952,n12606438,commelina,0,0.0,0.115,0,0
953,n12620546,hip,0,0.016,0.055,0,0
954,n12658118,mountain ash,0,0.0,0.047,0,0
955,n12663023,arabian coffee,0,0.172,0.268,0,0
956,n12683407,scabious,0,0.016,0.044,0,0
957,n12713866,cork tree,0,0.0,0.092,0,0
958,n12717072,ailanthus,0,0.031,0.083,0,0
959,n12726670,weeping willow,0,0.0,0.047,0,0
960,n12727101,pussy willow,0,0.094,0.138,0,0
961,n12727518,goat willow,0,0.031,0.067,0,0
962,n12741792,china tree,0,0.0,0.061,0,0
963,n12753007,silver maple,0,0.031,0.065,0,0
964,n12754003,oregon maple,0,0.0,0.071,0,0
965,n12754981,sycamore,0,0.047,0.105,0,0
966,n12755225,box elder,0,0.031,0.091,0,0
967,n12755727,japanese maple,0,0.047,0.107,0,0
968,n12756457,holly,0,0.031,0.112,0,0
969,n12765115,pepper tree,0,0.016,0.097,0,0
970,n12768682,buckeye,0,0.0,0.083,0,0
971,n12774299,balata,0,0.031,0.165,0,0
972,n12830222,achimenes,0,0.219,0.281,0,0
973,n12833149,african violet,1,0.516,0.516,1,0
974,n12833985,streptocarpus,1,0.516,0.505,1,0
975,n12836862,scorpionweed,0,0.0,0.073,0,0
976,n12879527,calceolaria,0,0.109,0.156,0,0
977,n12884260,toadflax,0,0.031,0.064,0,0
978,n12890265,veronica,0,0.0,0.073,0,0
979,n12916511,teak,0,0.016,0.107,0,0
980,n12946849,dogwood,0,0.016,0.115,0,0
981,n12966945,dead-man's-fingers,0,0.047,0.08,0,0
982,n12985420,truffle,0,0.344,0.362,0,0
983,n12985857,coral fungus,0,0.031,0.07,0,0
984,n12987056,lichen,0,0.016,0.05,0,0
985,n12998815,agaric,0,0.0,0.032,0,0
986,n13001930,shiitake,0,0.312,0.382,0,0
987,n13011595,gill fungus,0,0.0,0.084,0,0
988,n13032115,morel,0,0.031,0.084,0,0
989,n13037406,gyromitra,0,0.0,0.015,0,0
990,n13040303,stinkhorn,0,0.016,0.044,0,0
991,n13043926,puffball,0,0.0,0.033,0,0
992,n13044778,earthstar,0,0.078,0.132,0,0
993,n13049953,polypore,0,0.0,0.045,0,0
994,n13052670,hen-of-the-woods,0,0.047,0.135,0,0
995,n13054560,bolete,0,0.031,0.076,0,0
996,n13060190,jelly fungus,0,0.016,0.048,0,0
997,n13111881,bonsai,1,0.812,0.731,1,0
998,n13133613,ear,0,0.172,0.22,0,0
999,n13136316,bean,1,0.484,0.489,0,1
